width,space,ctt,cself,ctsv
5e-07,5e-07,-5.97964186760878e-16,5.864657158852565e-15,5.2666929720916874e-15
5e-07,1e-06,-2.8732918676087803e-16,5.208252164119229e-15,4.920922977358351e-15
5e-07,1.5e-06,-1.8378418676087807e-16,4.9852085503220105e-15,4.8014243635611325e-15
5e-07,2e-06,-1.3201168676087807e-16,4.872789625396433e-15,4.740777938635555e-15
5e-07,2.4999999999999998e-06,-1.009481867608781e-16,4.805117360126903e-15,4.704169173366025e-15
5e-07,2.9999999999999997e-06,-8.02391867608781e-17,4.7599888478304705e-15,4.6797496610695925e-15
5e-07,3.5e-06,-6.544704390373525e-17,4.727809432402807e-15,4.662362388499072e-15
5e-07,4e-06,-5.435293676087809e-17,4.703747454033585e-15,4.649394517272707e-15
5e-07,4.5e-06,-4.57241867608781e-17,4.685102369337746e-15,4.639378182576867e-15
5e-07,5e-06,-3.88211867608781e-17,4.670246265357901e-15,4.631425078597023e-15
5e-07,5.5e-06,-3.317327766996901e-17,4.658140004928254e-15,4.624966727258285e-15
5e-07,6e-06,-2.846668676087811e-17,4.648089823774615e-15,4.619623137013737e-15
5e-07,6.5000000000000004e-06,-2.44841867608781e-17,4.6396154474121594e-15,4.6151312606512815e-15
5e-07,7e-06,-2.1070615332306682e-17,4.632374278766563e-15,4.611303663434256e-15
5e-07,7.5e-06,-1.811218676087811e-17,4.626115669574064e-15,4.608003482813186e-15
5e-07,8e-06,-1.5523561760878106e-17,4.620652216074661e-15,4.605128654313783e-15
5e-07,8.5e-06,-1.323948087852517e-17,4.6158411260782935e-15,4.602601645199768e-15
5e-07,9e-06,-1.1209186760878109e-17,4.6115717718929946e-15,4.600362585132117e-15
5e-07,9.5e-06,-9.392607813509692e-18,4.6077571665369435e-15,4.598364558723434e-15
5e-07,9.999999999999999e-06,-7.757686760878114e-18,4.604327998306376e-15,4.596570311545498e-15
1e-06,5e-07,-1.2192341867608779e-15,5.324449594726437e-15,4.105215407965559e-15
1e-06,1e-06,-5.97964186760878e-16,4.663750820006333e-15,4.065786633245455e-15
1e-06,1.5e-06,-3.90874186760878e-16,4.4366062248414966e-15,4.0457320380806186e-15
1e-06,2e-06,-2.8732918676087803e-16,4.320879202722387e-15,4.033550015961509e-15
1e-06,2.4999999999999998e-06,-2.252021867608781e-16,4.2506218499916926e-15,4.0254196632308145e-15
1e-06,2.9999999999999997e-06,-1.837841867608781e-16,4.20346232699585e-15,4.019678140234972e-15
1e-06,3.5e-06,-1.5419990104659238e-16,4.169666164872691e-15,4.015466263826099e-15
1e-06,4e-06,-1.3201168676087807e-16,4.1443012505441204e-15,4.0122895637832424e-15
1e-06,4.5e-06,-1.1475418676087808e-16,4.124595931369587e-15,4.009841744608709e-15
1e-06,5e-06,-1.0094818676087808e-16,4.108870908827174e-15,4.007922722066297e-15
1e-06,5.5e-06,-8.965236857905991e-17,4.096048823349727e-15,4.006396454770667e-15
1e-06,6e-06,-8.023918676087809e-17,4.085406695857405e-15,4.005167509096527e-15
